date,ticker,entry_price,exit_price,amount
1970-06-08,SOYBEAN FUTURE    Jul23,"Dates
1970-05-28    110.119793
Name: SOYBEAN FUTURE    Jul23, dtype: float64",112.14017521902366,-0.0
1970-06-08,COCOA FUTURE      Jul23,"Dates
1970-05-28    56.496852
Name: COCOA FUTURE      Jul23, dtype: float64",52.08929593589009,0.0
1970-06-08,SUGAR #11 (WORLD) Jul23,109.83245496735621,,-23207.1321184384
1970-06-08,WHEAT FUTURE(CBT) Jul23,107.55090460417787,,0.0
1970-06-08,LIVE CATTLE FUTR  Aug23,139.89634565550804,,-0.0
1970-06-08,COTTON NO.2 FUTR  Jul23,70.48325319859823,,0.0
1970-06-08,CORN FUTURE       Jul23,112.58248902190705,,-0.0
1970-06-08,SOYBEAN FUTURE    Jul23,112.14017521902366,,0.0
1970-06-08,COCOA FUTURE      Jul23,52.08929593589009,,0.0
1970-07-17,SUGAR #11 (WORLD) Jul23,"Dates
1970-06-08    109.832455
Name: SUGAR #11 (WORLD) Jul23, dtype: float64",111.0005506174781,-23207.1321184384
1970-07-17,WHEAT FUTURE(CBT) Jul23,"Dates
1970-06-08    107.550905
Name: WHEAT FUTURE(CBT) Jul23, dtype: float64",113.04187175866659,0.0
1970-07-17,LIVE CATTLE FUTR  Aug23,"Dates
1970-06-08    139.896346
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",145.0208895235074,-0.0
1970-07-17,COTTON NO.2 FUTR  Jul23,"Dates
1970-06-08    70.483253
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",72.75690652758523,0.0
1970-07-17,CORN FUTURE       Jul23,"Dates
1970-06-08    112.582489
Name: CORN FUTURE       Jul23, dtype: float64",119.06631013419019,-0.0
1970-07-17,SOYBEAN FUTURE    Jul23,"Dates
1970-06-08    112.140175
Name: SOYBEAN FUTURE    Jul23, dtype: float64",119.6674414446628,0.0
1970-07-17,COCOA FUTURE      Jul23,"Dates
1970-06-08    52.089296
Name: COCOA FUTURE      Jul23, dtype: float64",56.21064682312534,0.0
1970-07-17,SUGAR #11 (WORLD) Jul23,111.0005506174781,,-22818.613050801934
1970-07-17,WHEAT FUTURE(CBT) Jul23,113.04187175866659,,0.0
1970-07-17,LIVE CATTLE FUTR  Aug23,145.0208895235074,,-0.0
1970-07-17,COTTON NO.2 FUTR  Jul23,72.75690652758523,,0.0
1970-07-17,CORN FUTURE       Jul23,119.06631013419019,,-0.0
1970-07-17,SOYBEAN FUTURE    Jul23,119.6674414446628,,0.0
1970-07-17,COCOA FUTURE      Jul23,56.21064682312534,,0.0
1970-08-06,SUGAR #11 (WORLD) Jul23,"Dates
1970-07-17    111.000551
Name: SUGAR #11 (WORLD) Jul23, dtype: float64",109.8678518052386,-22818.613050801934
1970-08-06,WHEAT FUTURE(CBT) Jul23,"Dates
1970-07-17    113.041872
Name: WHEAT FUTURE(CBT) Jul23, dtype: float64",115.11104659602258,0.0
1970-08-06,LIVE CATTLE FUTR  Aug23,"Dates
1970-07-17    145.02089
Name: LIVE CATTLE FUTR  Aug23, dtype: float64",140.79009995240372,-0.0
1970-08-06,COTTON NO.2 FUTR  Jul23,"Dates
1970-07-17    72.756907
Name: COTTON NO.2 FUTR  Jul23, dtype: float64",70.97221090375668,0.0
1970-08-06,CORN FUTURE       Jul23,"Dates
1970-07-17    119.06631
Name: CORN FUTURE       Jul23, dtype: float64",118.03841719206127,-0.0
